indroea;ano_hidr;qci;qci_com;mes_ci;dia_ci;qc;qc_com;mes_c;dia_c
2068;2009;56.6;2;2;27;44.7;2;11;17
2068;1958;;;;;62;1;4;19
2067;1915;;;;;148;1;11;17
2067;1944;;;;;118.2;1;3;24
2062;1915;;;;;1423;1;3;21
2067;1929;;;;;;4;4;23
2067;1928;;;;;;4;2;25
2067;1927;;;;;;4;6;9
2067;1926;;;;;;4;2;28
2067;1925;;;;;;4;2;5
2067;1924;;;;;;4;4;17
2067;1923;;;;;;4;3;23
2067;1920;;;;;;4;12;28
2067;1956;;;;;118;1;2;5
2054;1927;;;;;;4;12;27
2062;1919;;;;;719.5;1;11;7
2056;1918;;;;;;4;2;24
2054;1984;903;2;2;;864;2;2;12
2054;1973;612;2;1;;612;2;1;11
2054;1960;1884;2;1;;;;;
2054;1955;1237.5;1;3;;;;;
2054;1942;;;;;698;1;1;15
2056;1922;;;;;;4;11;5
2054;1928;;;;;;4;2;4
2056;1923;;;;;;4;3;30
2054;1926;;;;;;4;3;27
2054;1925;;;;;;4;3;30
2054;1924;;;;;;4;4;22
2054;1923;;;;;;3;3;
2054;1922;;;;;;4;3;28
2054;1921;;;;;;3;1;
2052;1962;26.4;1;1;;;;;
2050;2007;11.7;2;5;31;8.44;2;6;1
2054;1929;;;;;;4;5;1
2056;1957;20.7;1;;;;;;
2062;1914;;;;;1840;1;2;24
2062;1913;;;;;1870;1;2;24
2062;1911;;;;;1542;2;3;11
2060;1998;49.307;2;3;13;;;;
2060;1995;;;;;466.39;2;1;23
2056;1985;34.17;2;2;26;;;;
2056;1966;98;2;11;9;;;;
2056;1921;;;;;;4;4;7
2056;1962;99;1;2;;;;;
2069;1927;;;;;;4;12;23
2056;1950;58;1;3;;;;;
2056;1930;;;;;242;2;3;20
2056;1929;;;;;;4;4;30
2056;1928;;;;;;4;2;16
2056;1927;;;;;;4;12;30
2056;1926;;;;;;4;3;27
2056;1925;;;;;;4;2;3
2056;1924;;;;;;4;12;19
2056;1965;410;2;1;21;;;;
2075;1916;;;;;79;1;12;24
2074;1924;;;;;450;1;11;30
2075;1924;;;;;96;1;11;28
2075;1923;;;;;149;1;3;23
2075;1922;;;;;136;1;10;29
2075;1921;;;;;94;1;3;18
2075;1920;;;;;82.4;1;12;28
2075;1919;;;;;87;1;2;18
2075;1927;;;;;88;1;12;19
2075;1917;;;;;161;1;1;20
2075;1928;;;;;68.9;2;3;4
2075;1915;;;;;169;1;12;26
2075;1914;;;;;175;1;3;27
2075;1913;;;;;70;1;2;9
2074;1940;;;;;347;1;1;
2074;1930;;;;;731.33;2;3;20
2074;1929;;;;;546;1;6;16
2074;1928;;;;;400;1;10;29
2069;1925;;;;;;4;12;22
2075;1918;;;;;132;1;2;23
2079;1915;;;;;170;2;;
2908;1913;;;;;;3;;
2079;1923;;;;;148;1;3;26
2079;1922;;;;;169;1;10;30
2079;1921;;;;;170;1;1;7
2079;1920;;;;;116;1;12;29
2079;1919;;;;;158;1;3;
2079;1918;;;;;;4;2;17
2075;1925;;;;;151;1;12;23
2079;1916;;;;;170;2;;
2074;1923;;;;;417;1;3;25
2079;1914;;;;;170;2;;
2078;1990;51.75;2;1;10;28.16;2;1;9
2076;1960;;;;;84;1;11;17
2076;1959;;;;;102;1;12;23
2076;1958;;;;;64;1;12;19
2076;1944;;;;;53;1;12;11
2075;1943;;;;;47.4;2;11;26
2075;1929;;;;;103;1;11;16
2079;1917;;;;;116.4;2;1;21
2070;1918;;;;;123;1;2;16
2074;1925;;;;;466;1;12;23
2070;1929;;;;;;4;12;4
2070;1926;;;;;;4;2;25
2070;1925;;;;;;4;2;1
2070;1924;;;;;;4;11;29
2070;1923;;;;;;4;3;23
2070;1922;;;;;;4;10;29
2070;1993;;;;;162.7;2;10;13
2070;1919;;;;;;4;3;17
