indroea;ano_hidr;ano_hidr1;qcio;qci;extr_a_com;mes_ci;dia_ci;qco;qc;extr_a_comv;mes_c;dia_c
2042;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;30
2042;1919;1920;;;;;;;74.5;VALOR COMPLETADO;11;16
2042;1917;1918;;;;;;;60;VALOR COMPLETADO;1;21
2042;1916;1917;;;;;;;166;VALOR COMPLETADO;12;26
2042;1914;1915;;;;;;;86.5;VALOR COMPLETADO;3;23
2042;1913;1914;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2042;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;21
2009;1919;1920;;;;;;;4.07;VALOR COMPLETADO;11;6
2009;1966;1967;;11.2;INCOMPLETO CON VALOR ALTO;11;8;10.518;;;;
2009;1930;1931;;;;;;;8.4;VALOR COMPLETADO;3;10
2009;1929;1930;;;;;;;10;VALOR COMPLETADO;4;29
2009;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;4
2009;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;11
2009;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2009;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;13
2014;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2009;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;5
2012;1915;1916;;;;;;;11.8;VALOR COMPLETADO;3;19
2009;1918;1919;;;;;;;18.6;INCOMPLETO CON VALOR ALTO;2;22
2009;1917;1918;;;;;;;3;INCOMPLETO CON VALOR ALTO;4;18
2009;1914;1915;;;;;;;8;INCOMPLETO CON VALOR ALTO;1;9
2007;1930;1931;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;12
2007;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;29
2007;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;25
2007;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2009;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;25
2012;1923;1924;;;;;;;34;VALOR COMPLETADO;3;27
2029;1913;1914;;;;;;;186;VALOR COMPLETADO;2;23
2014;1920;1921;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;6;4
2012;1997;1998;;18.53;INCOMPLETO CON VALOR ALTO;11;22;;11.48;INCOMPLETO CON VALOR ALTO;11;22
2012;1930;1931;;;;;;;27;INCOMPLETO CON VALOR ALTO;3;14
2012;1928;1929;;;;;;;45.2;VALOR COMPLETADO;2;2
2012;1927;1928;;;;;;;29.3;VALOR COMPLETADO;3;25
2012;1926;1927;;;;;;;33;VALOR COMPLETADO;3;27
2010;1929;1930;;;;;;;64;INCOMPLETO CON VALOR ALTO;2;3
2012;1924;1925;;;;;;;9.3;VALOR COMPLETADO;;
2012;1914;1915;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;;
2012;1922;1923;;;;;;;26;VALOR COMPLETADO;2;21
2012;1921;1922;;;;;;;31.3;VALOR COMPLETADO;4;6
2012;1920;1921;;;;;;;33.8;VALOR COMPLETADO;6;3
2012;1919;1920;;;;;;;25;VALOR COMPLETADO;1;1
2012;1918;1919;;;;;;;35.6;VALOR COMPLETADO;2;22
2012;1917;1918;;;;;;;13.1;VALOR COMPLETADO;1;14
2012;1916;1917;;;;;;;22;VALOR COMPLETADO;1;30
2007;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2012;1925;1926;;;;;;;29.3;VALOR COMPLETADO;2;1
2002;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;6
2007;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2003;1930;1931;;;;;;;3.26;VALOR COMPLETADO;3;19
2002;1929;1930;;;;;;;137;INCOMPLETO CON VALOR ALTO;4;28
2002;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;24
2002;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;25
2002;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;28
2002;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;27
2004;1965;1966;;188.1;INCOMPLETO CON VALOR ALTO;1;24;178;;;;
2002;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;26
2005;1996;1997;;;;;;;31.3;INCOMPLETO CON VALOR ALTO;6;2
2002;1919;1920;;;;;;;70;VALOR COMPLETADO;11;15
2002;1918;1919;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2002;1917;1918;;;;;;;70;VALOR COMPLETADO;4;4
2002;1916;1917;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2002;1915;1916;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2002;1914;1915;;;;;;;;GRAN CRECIDA SIN DATO DE ALTURA;;
2002;1913;1914;;;;;;;102;INCOMPLETO CON VALOR ALTO;3;25
2000;2012;2013;;109.5;INCOMPLETO CON VALOR ALTO;3;29;51.3;;;;
2002;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;25
2006;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;22
2014;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;29
2007;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;27
2007;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;4;7
2007;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;5;28
2006;1993;1994;;94.74;INCOMPLETO CON VALOR ALTO;11;1;;26.24;INCOMPLETO CON VALOR ALTO;11;1
2006;1989;1990;;96.78;INCOMPLETO CON VALOR ALTO;12;18;;36.839;INCOMPLETO CON VALOR ALTO;11;19
2006;1930;1931;;;;;;;66.6;VALOR COMPLETADO;3;19
2003;1948;1949;10.075;;;;;;2.48;INCOMPLETO CON VALOR ALTO;9;11
2006;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;21
2007;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;28
2006;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;26
2006;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;20
2006;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;21
2006;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;23
2006;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;10;6
2006;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;17
2006;1917;1918;;;;;;;4.4;VALOR COMPLETADO;1;25
2006;1916;1917;;;;;;;5.6;VALOR COMPLETADO;1;26
2006;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;8
2021;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;22
2022;1934;1935;;;;;;;12.59;INCOMPLETO CON VALOR ALTO;2;
2022;1925;1926;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;2
2022;1924;1925;;;;;;;20;VALOR COMPLETADO;6;3
2021;1936;1937;;;;;;;133.2;INCOMPLETO CON VALOR ALTO;1;
2021;1935;1936;;;;;;;84.4;INCOMPLETO CON VALOR ALTO;12;
2021;1929;1930;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;3
2021;1928;1929;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;9
2014;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;1
2021;1926;1927;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;11;20
2024;1914;1915;;;;;;;58;VALOR COMPLETADO;3;22
2021;1924;1925;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;6;2
2021;1923;1924;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;23
2021;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;8
2021;1921;1922;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;1;29
2021;1920;1921;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;28
2021;1919;1920;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;3;15
2021;1918;1919;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;19
2021;1927;1928;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;12;22
2024;1922;1923;;;;;;;;GRAN CRECIDA CON DATO DE ALTURA;2;8
2024;1970;1971;;52.2;INCOMPLETO CON VALOR ALTO;4;30;43.6;;;;
