indroea;anomes_ci;dia_ci;hci;qci
2000;202008;13;0.07;0.174
2000;202009;19;0.22;1.512
2000;202010;25;0.43;7.14
2000;202011;7;0.39;5.565
2000;202012;11;0.55;12.5
2000;202101;25;0.86;30.469
2000;202102;9;0.73;22.25
2000;202103;1;0.39;5.564
2000;202104;29;0.28;2.524
2000;202105;13;0.46;8.276
2000;202106;1;0.35;4.383
2000;202107;7;0.07;0.19
2000;202108;1;0.05;0.093
2000;202109;1;0.19;1.107
2001;199204;28;0.73;4.549
2001;199205;28;1.25;14.978
2001;199206;1;0.92;7.661
2001;199207;13;1.34;17.381
2001;199208;14;1.23;14.463
2001;199209;9;0.95;8.218
2001;199210;1;0.8;5.596
2001;199211;5;1.61;25.642
2001;199212;7;0.46;1.505
2001;199301;1;0.38;0.919
2001;199302;1;0.36;0.792
2001;199303;31;0.37;0.856
2001;199304;9;0.39;0.983
2001;199305;8;0.75;4.833
2001;199306;22;1.1;11.337
2001;199307;28;1.29;16.007
2001;199308;12;1.27;15.492
2001;199309;1;1.15;12.514
2001;199310;23;0.3;0.469
2001;199311;16;0.69;3.994
2001;199312;11;0.3;0.469
2001;199401;10;0.36;0.792
2001;199402;5;0.31;0.521
2001;199403;30;0.44;1.344
2001;199404;29;0.92;7.661
2001;199405;4;1.11;11.572
2001;199406;19;1.11;11.572
2001;199407;21;1.22;14.206
2001;199408;26;1.27;15.492
2001;199409;2;1.06;10.483
2001;199410;1;0.4;1.046
2001;199411;19;0.38;0.919
2001;199412;18;0.38;0.919
2001;199501;21;0.4;1.046
2001;199502;14;0.47;1.591
2001;199503;2;0.63;3.233
2001;199504;12;0.74;4.691
2001;199505;5;0.97;8.612
2001;199506;5;1.06;10.483
2001;199507;17;1.19;13.456
2001;199508;1;1.12;11.808
2001;199509;6;1.1;11.337
2001;199510;;0.6;3.3
2001;199511;;0.41;1.27
2001;199512;;0.99;9.5
2001;199601;;0.57;2.94
2001;199602;;2.27;49.08
2001;199603;;1.22;14.44
2001;199604;;1.3;16.38
2001;199605;;1.02;10.09
2001;199606;;1.22;14.44
2001;199607;;1.22;14.44
2001;199608;;1.24;14.91
2001;199609;;1.11;11.96
2001;199610;31;0.63;3.68
2001;199611;4;1.21;14.21
2001;199612;14;0.51;2.26
2001;199701;27;1.78;30.44
2001;199702;1;1.01;9.89
2001;199703;31;0.76;5.51
2001;199704;17;0.86;7.13
2001;199705;29;0.97;9.12
2001;199706;23;0.92;8.19
2001;199707;28;1.08;11.32
2001;199708;5;1.1;11.74
2001;199709;1;1.1;11.74
2001;199710;1;1.1;11.74
2001;199711;11;0.54;2.59
2001;199712;18;0.77;5.67
2001;199801;8;1.1;11.74
2001;199802;1;1.01;9.89
2001;199803;20;0.57;2.94
2001;199804;16;0.58;3.06
2001;199805;7;0.76;5.51
2001;199806;2;1.14;12.61
2001;199807;28;1.2;13.97
2001;199808;1;1.38;18.44
2001;199809;1;1.38;18.44
2001;199810;1;0.86;7.162
2001;199811;11;0.57;2.936
2001;199812;1;0.51;2.246
2001;199901;4;0.54;2.584
2001;199902;18;0.55;2.699
2001;199903;30;0.56;2.817
2001;199904;9;0.85;6.991
2001;199905;28;1.02;10.124
2001;199906;1;1.04;10.526
2001;199907;5;1.2;13.994
2001;199908;1;1.17;13.309
2001;199909;1;1.02;10.124
2001;199910;15;0.59;3.18
2001;199911;10;0.79;6.007
2001;199912;15;0.52;2.357
2001;200001;3;0.53;2.469
2001;200002;1;0.54;2.584
