ref_ceh;anomes;hmedmes;qmedmes;apormedmes;qcmes;hcmes;dia_cmes;qnmes;hnmes;dia_nmes;orig_dato_id
2401;200907;0.24;0.247;0.662;0.271;0.25;12;0.228;0.23;1;1
2401;200908;0.24;0.262;0.701;0.279;0.25;20;0.236;0.23;8;1
2401;200909;0.25;0.294;0.762;0.346;0.27;15;0.268;0.24;26;1
2401;200910;0.3;0.476;1.276;0.707;0.36;21;0.257;0.24;31;1
2401;200911;0.29;0.425;1.102;0.771;0.38;26;0.252;0.24;8;1
2401;200912;0.34;0.593;1.588;1.07;0.46;10;0.418;0.29;2;1
2401;201001;0.33;0.558;1.495;0.817;0.39;21;0.446;0.3;17;1
2401;201002;0.3;0.454;1.097;0.7;0.36;25;0.356;0.27;19;1
2401;201003;0.37;0.718;1.924;0.934;0.43;16;0.484;0.31;27;1
2401;201004;0.37;0.679;1.759;1.15;0.48;22;0.359;0.28;6;1
2401;201005;0.32;0.541;1.449;0.933;0.43;12;0.277;0.25;30;1
2401;201006;0.29;0.431;1.118;1.11;0.48;16;0.217;0.23;24;1
2401;201007;0.24;0.243;0.651;0.303;0.26;29;0.17;0.21;11;1
2401;201008;0.25;0.273;0.73;0.299;0.26;31;0.24;0.23;7;1
2401;201009;0.26;0.325;0.842;0.55;0.33;11;0.248;0.24;24;1
2401;201010;0.3;0.506;1.354;1.02;0.43;27;0.229;0.23;31;1
2401;201011;0.32;0.547;1.418;0.934;0.42;30;0.22;0.23;2;1
2401;201012;0.34;0.636;1.703;1.06;0.45;9;0.337;0.27;11;1
2401;201101;0.36;0.692;1.853;1.16;0.48;13;0.278;0.25;19;1
2401;201102;0.35;0.665;1.609;0.916;0.41;1;0.333;0.27;12;1
2401;201103;0.35;0.683;1.831;1.08;0.45;10;0.337;0.27;27;1
2401;201104;0.36;0.714;1.852;1.08;0.45;13;0.336;0.27;30;1
2401;201105;0.34;0.592;1.586;1.02;0.44;9;0.316;0.26;15;1
2401;201106;0.35;0.607;1.574;0.705;0.38;9;0.496;0.32;1;1
2401;201107;0.38;0.724;1.94;1.01;0.45;16;0.603;0.35;3;1
2401;201108;0.36;0.634;1.698;0.861;0.42;1;0.585;0.34;4;1
2401;201109;0.35;0.609;1.58;0.633;0.36;6;0.586;0.34;20;1
2401;201110;0.4;0.554;1.484;1.01;0.49;25;0.259;0.32;29;1
2401;201111;0.42;0.697;1.807;1.09;0.51;11;0.242;0.32;12;1
2401;201112;0.42;0.67;1.794;1.06;0.5;22;0.214;0.31;17;1
2401;201201;0.39;0.571;1.529;1.29;0.56;19;0.186;0.3;31;1
2401;201202;0.35;0.4;1.003;0.909;0.47;8;0.174;0.29;29;1
2401;201203;0.3;0.195;0.523;0.216;0.31;17;0.183;0.3;1;1
2401;201204;0.31;0.209;0.541;0.353;0.35;28;0.171;0.29;26;1
2401;201205;0.33;0.317;0.85;0.906;0.49;10;0.169;0.29;26;1
2401;201206;0.3;0.194;0.503;0.217;0.31;16;0.158;0.29;25;1
2401;201207;0.3;0.188;0.504;0.219;0.31;21;0.169;0.29;8;1
2401;201208;0.3;0.187;0.501;0.209;0.31;26;0.16;0.29;5;1
2401;201209;0.3;0.198;0.512;0.224;0.31;16;0.179;0.3;30;1
2401;201210;0.3;0.203;0.543;0.278;0.33;23;0.164;0.29;26;1
2401;201211;0.3;0.189;0.489;0.262;0.32;15;0.16;0.29;24;1
2401;201212;0.33;0.292;0.782;0.458;0.38;31;0.153;0.29;16;1
2401;201301;0.36;0.4;1.071;0.499;0.39;1;0.349;0.35;26;1
2401;201302;0.35;0.352;0.851;0.447;0.38;27;0.287;0.33;15;1
2401;201303;0.34;0.318;0.852;0.378;0.36;21;0.251;0.32;16;1
2401;201304;0.35;0.367;0.952;0.499;0.39;15;0.1;0.27;28;1
2401;201305;0.33;0.286;0.766;0.515;0.39;9;0.109;0.27;1;1
2401;201306;0.36;0.392;1.016;0.699;0.44;27;0.155;0.29;17;1
2401;201307;0.32;0.253;0.679;0.662;0.43;17;0.16;0.29;21;1
2401;201308;0.3;0.205;0.549;0.308;0.34;1;0.17;0.29;3;1
2401;201309;0.31;0.218;0.565;0.387;0.36;11;0.162;0.29;16;1
2432;200910;1.56;4.062;10.88;4.3;1.56;23;3.83;1.58;8;1
2432;200911;1.59;4.276;11.084;4.44;1.61;11;3.93;1.56;8;1
2432;200912;1.56;4.295;11.504;4.57;1.57;12;3.89;1.54;25;1
2432;201001;1.55;3.725;9.977;4.1;1.63;18;3.31;1.52;14;1
2432;201002;1.6;3.598;8.704;4.05;1.56;26;3.41;1.59;5;1
2432;201003;1.56;3.595;9.628;4.1;1.59;2;3.3;1.55;23;1
2432;201004;1.55;4.052;10.504;4.57;1.6;22;3.31;1.47;7;1
2432;201005;1.63;4.496;12.043;4.93;1.69;15;4.18;1.58;26;1
2432;201006;1.7;4.734;12.271;4.94;1.73;15;4.56;1.64;4;1
2432;201007;1.65;4.393;11.765;4.73;1.73;1;4.14;1.55;14;1
2432;201008;1.65;4.276;11.454;4.52;1.72;22;3.94;1.58;27;1
2432;201009;1.61;4.143;10.738;4.44;1.7;4;3.9;1.59;23;1
2432;201010;1.61;3.909;10.47;4.09;1.63;18;3.5;1.58;30;1
2432;201011;1.62;3.993;10.349;4.34;1.68;23;3.52;1.55;11;1
2432;201012;1.63;4.233;11.337;4.49;1.68;10;3.92;1.58;6;1
2432;201101;1.61;4.096;10.97;4.42;1.67;7;3.88;1.59;29;1
2432;201102;1.53;3.955;9.567;4.29;1.55;25;3.66;1.49;16;1
2432;201103;1.55;4.133;11.07;4.51;1.59;20;3.88;1.53;14;1
2432;201104;1.62;4.29;11.121;4.5;1.69;25;4.11;1.61;21;1
2432;201105;1.67;4.431;11.868;4.9;1.73;10;4.11;1.61;21;1
2432;201106;1.7;4.493;11.645;4.8;1.7;1;4.33;1.63;29;1
2432;201107;1.63;4.238;11.35;4.47;1.67;29;4.03;1.62;14;1
2432;201108;1.67;4.34;11.624;4.51;1.72;21;4.02;1.62;13;1
2432;201109;1.63;4.297;11.139;4.49;1.65;5;4.17;1.63;23;1
2432;201110;1.54;3.707;9.93;4.17;1.62;9;3.15;1.49;24;1
2432;201111;1.47;3.072;7.963;3.35;1.5;1;2.57;1.45;6;1
2432;201112;1.48;2.952;7.907;3.27;1.47;1;2.66;1.48;16;1
2432;201201;1.48;2.889;7.737;2.98;1.48;27;2.76;1.48;2;1
2432;201202;1.48;2.801;7.017;2.94;1.48;2;2.71;1.48;18;1
2432;201203;1.51;3.485;9.335;3.94;1.53;18;2.67;1.49;4;1
2432;201204;1.56;3.944;10.224;4.23;1.65;30;3.71;1.54;16;1
2432;201205;1.61;4.07;10.901;4.29;1.65;1;3.62;1.49;31;1
2432;201206;1.57;3.982;10.32;4.37;1.62;19;2.77;1.43;1;1
2432;201207;1.56;3.59;9.615;4.18;1.59;31;2.93;1.54;15;1
2432;201208;1.58;3.957;10.6;4.3;1.63;9;2.94;1.49;24;1
2432;201209;1.58;3.829;9.924;4.14;1.58;3;3.5;1.55;26;1
2432;201210;;3.472;9.3;3.72;;31;3.12;;18;1
2432;201211;;3.397;8.804;3.7;;1;3.21;;30;1
2432;201212;;3.36;8.999;3.65;;20;3.15;;6;1
2432;201301;;3.338;8.942;3.63;;19;3.08;;25;1
2432;201302;;2.987;7.226;3.21;;1;2.88;;11;1
2432;201303;;3.379;9.05;5.18;;31;2.95;;3;1
2432;201304;;3.811;9.879;5.07;;1;3.09;;16;1
2432;201305;;4.071;10.903;4.37;;28;3.86;;15;1
2432;201306;;4.194;10.872;4.33;;13;4.05;;29;1
2432;201307;;4.066;10.891;4.3;;7;3.81;;27;1
2432;201308;;4.155;11.127;4.24;;4;3.97;;23;1
2432;201309;;4.162;10.789;4.26;;1;3.99;;28;1
