ref_ceh;ano_hidr;aportano;qmedano;hmedano;qc;hc;ano_c;mes_c;dia_c;qci;hci;ano_ci;mes_ci;dia_ci;qcn;hcn;ano_cn;mes_cn;dia_cn;orig_dato_id
2401;2007;15.661;0.495;0.31;1.5;0.56;2008;1;23;2.23;0.72;2008;2;13;0.118;0.19;2008;8;1;1
2401;2008;13.287;0.421;0.29;1.26;0.51;2008;11;12;2.34;0.74;2008;11;12;0.121;0.19;2009;4;27;1
2401;2009;15.031;0.477;0.3;1.15;0.48;2010;4;22;2.33;0.74;2010;3;5;0.17;0.21;2010;7;11;1
2401;2010;19.997;0.634;0.35;1.16;0.48;2011;1;13;2.35;0.74;2011;4;13;0.22;0.23;2010;11;2;1
2401;2011;11.551;0.365;0.34;1.29;0.56;2012;1;19;2;0.71;2011;12;2;0.158;0.29;2012;6;25;1
2401;2012;9.117;0.289;0.33;0.699;0.44;2013;6;27;1.01;0.51;2012;12;11;0.1;0.27;2013;4;28;1
2432;2009;130.552;4.14;1.6;4.94;1.73;2010;6;15;5.87;;2010;6;15;3.3;1.55;2010;3;23;1
2432;2010;132.511;4.202;1.62;4.9;1.73;2011;5;10;5.46;1.75;2011;5;10;3.5;1.58;2010;10;30;1
2432;2011;111.474;3.525;1.54;4.37;1.62;2012;6;19;5.03;1.67;2012;7;16;2.57;1.45;2011;11;6;1
2432;2012;116.781;3.703;;5.18;;2013;3;31;5.65;;2013;3;30;2.88;;2013;2;11;1
